Timestamp, RPM, HR, Speed
25/03/2024 3:59:33 p.m.,0,0,0
25/03/2024 3:59:38 p.m.,0,0,0
25/03/2024 3:59:43 p.m.,0,0,0
25/03/2024 3:59:48 p.m.,0,0,0
25/03/2024 3:59:53 p.m.,0,0,0
25/03/2024 3:59:58 p.m.,0,0,0
25/03/2024 4:00:03 p.m.,0,0,0
25/03/2024 4:00:08 p.m.,0,0,0
25/03/2024 4:00:13 p.m.,0,0,0
25/03/2024 4:00:18 p.m.,0,0,0
25/03/2024 4:00:23 p.m.,0,0,0
25/03/2024 4:00:28 p.m.,0,0,0
25/03/2024 4:00:33 p.m.,0,0,0
25/03/2024 4:00:38 p.m.,0,0,0
25/03/2024 4:00:43 p.m.,0,0,0
25/03/2024 4:00:48 p.m.,0,0,0
25/03/2024 4:00:54 p.m.,0,0,0
25/03/2024 4:00:59 p.m.,0,0,0
25/03/2024 4:01:04 p.m.,0,0,0
25/03/2024 4:01:09 p.m.,0,0,0
25/03/2024 4:01:14 p.m.,0,0,0
25/03/2024 4:01:19 p.m.,0,0,0
25/03/2024 4:01:24 p.m.,0,0,0
25/03/2024 4:01:29 p.m.,0,0,0
25/03/2024 4:01:34 p.m.,0,0,0
25/03/2024 4:01:39 p.m.,0,0,0
25/03/2024 4:01:44 p.m.,0,0,0
25/03/2024 4:01:49 p.m.,0,0,0
25/03/2024 4:01:54 p.m.,0,0,0
25/03/2024 4:01:59 p.m.,0,0,0
25/03/2024 4:02:04 p.m.,0,0,0
25/03/2024 4:02:09 p.m.,0,0,0
25/03/2024 4:02:14 p.m.,0,0,0
25/03/2024 4:02:19 p.m.,0,0,0
25/03/2024 4:02:24 p.m.,0,0,0
25/03/2024 4:02:29 p.m.,0,0,0
25/03/2024 4:02:34 p.m.,0,0,0
25/03/2024 4:02:39 p.m.,0,0,0
25/03/2024 4:02:44 p.m.,0,0,0
25/03/2024 4:02:49 p.m.,0,0,0
25/03/2024 4:02:55 p.m.,0,0,0
25/03/2024 4:03:00 p.m.,0,0,0
25/03/2024 4:03:05 p.m.,0,0,0
25/03/2024 4:03:10 p.m.,0,0,0
25/03/2024 4:03:15 p.m.,0,0,0
25/03/2024 4:03:20 p.m.,0,0,0
25/03/2024 4:03:25 p.m.,0,0,0
25/03/2024 4:03:30 p.m.,0,0,0
25/03/2024 4:03:35 p.m.,0,0,0
25/03/2024 4:03:40 p.m.,0,0,0
25/03/2024 4:03:45 p.m.,0,0,0
25/03/2024 4:03:51 p.m.,0,0,0
25/03/2024 4:03:56 p.m.,0,0,0
25/03/2024 4:04:01 p.m.,0,0,0
25/03/2024 4:04:06 p.m.,0,0,0
25/03/2024 4:04:12 p.m.,0,0,0
25/03/2024 4:04:17 p.m.,0,0,0
25/03/2024 4:04:22 p.m.,0,0,0
25/03/2024 4:04:27 p.m.,0,0,0
25/03/2024 4:04:32 p.m.,0,0,0
25/03/2024 4:04:37 p.m.,0,0,0
25/03/2024 4:04:42 p.m.,0,0,0
25/03/2024 4:04:47 p.m.,0,0,0
25/03/2024 4:04:52 p.m.,0,0,0
25/03/2024 4:04:57 p.m.,0,0,0
25/03/2024 4:05:02 p.m.,0,0,0
25/03/2024 4:05:07 p.m.,0,0,0
25/03/2024 4:05:12 p.m.,0,0,0
25/03/2024 4:05:17 p.m.,0,0,0
25/03/2024 4:05:22 p.m.,0,0,0
25/03/2024 4:05:27 p.m.,0,0,0
25/03/2024 4:05:32 p.m.,0,0,0
25/03/2024 4:05:37 p.m.,0,0,0
25/03/2024 4:05:42 p.m.,0,0,0
25/03/2024 4:05:47 p.m.,0,0,0
25/03/2024 4:05:52 p.m.,0,0,0
25/03/2024 4:05:57 p.m.,0,0,0
25/03/2024 4:06:02 p.m.,0,0,0
25/03/2024 4:06:07 p.m.,0,0,0
25/03/2024 4:06:12 p.m.,0,0,0
25/03/2024 4:06:17 p.m.,0,0,0
25/03/2024 4:06:22 p.m.,0,0,0
25/03/2024 4:06:27 p.m.,0,0,0
25/03/2024 4:06:32 p.m.,0,0,0
25/03/2024 4:06:37 p.m.,0,0,0
25/03/2024 4:06:42 p.m.,0,0,0
25/03/2024 4:06:47 p.m.,0,0,0
25/03/2024 4:06:52 p.m.,0,0,0
25/03/2024 4:06:57 p.m.,0,0,0
25/03/2024 4:07:02 p.m.,0,0,0
25/03/2024 4:07:07 p.m.,0,0,0
25/03/2024 4:07:12 p.m.,0,0,0
25/03/2024 4:07:17 p.m.,0,0,0
25/03/2024 4:07:22 p.m.,0,0,0
